User_id,Day_name,Hour_of_Day,month_id,Watch_date,Month_Name,Day_classification,TV_Channel,Watch_Time,Duration,userid,Region,Age_Group,Race,Gender,email_flag,SM_Flag
904299,Fri,15,201603,2016-03-25,Mar,Weekday,ICC Cricket World Cup 2011,15:32:00,01:30:26,904299,Free State,Children,indian_asian,male,1,1
904299,Tue,13,201603,2016-03-29,Mar,Weekday,ICC Cricket World Cup 2011,13:01:00,01:31:36,904299,Free State,Children,indian_asian,male,1,1
531053,Mon,7,201601,2016-01-11,Jan,Weekday,Cartoon Network,07:09:00,00:02:17,531053,Western Cape,Teens,coloured,male,1,1
2368559,Fri,19,201602,2016-02-19,Feb,Weekday,Supersport Live Events,19:26:00,00:45:42,2368559,Gauteng,Adults,black,male,1,1
2368559,Thu,19,201602,2016-02-04,Feb,Weekday,Supersport Live Events,19:46:00,00:13:28,2368559,Gauteng,Adults,black,male,1,1
2368559,Mon,20,201601,2016-01-25,Jan,Weekday,Supersport Live Events,20:50:00,00:13:24,2368559,Gauteng,Adults,black,male,1,1
2368559,Thu,17,201601,2016-01-07,Jan,Weekday,DStv Events 1,17:42:00,00:04:10,2368559,Gauteng,Adults,black,male,1,1
2368559,Fri,10,201601,2016-01-08,Jan,Weekday,Africa Magic,10:34:00,00:00:26,2368559,Gauteng,Adults,black,male,1,1
779500,Sun,6,201602,2016-02-14,Feb,Weekend,Break in transmission,06:00:00,00:00:16,779500,Western Cape,Young Adults,white,male,1,1
779500,Tue,15,201602,2016-02-02,Feb,Weekday,Boomerang,15:55:00,00:09:32,779500,Western Cape,Young Adults,white,male,1,1
2384970,Sun,16,201601,2016-01-31,Jan,Weekend,CNN,16:01:00,00:00:30,2384970,Kwazulu Natal,Adults,coloured,male,1,1
2384970,Wed,15,201602,2016-02-03,Feb,Weekday,Boomerang,15:38:00,00:00:09,2384970,Kwazulu Natal,Adults,coloured,male,1,1
831820,Sun,14,201603,2016-03-13,Mar,Weekend,ICC Cricket World Cup 2011,14:35:00,00:13:22,831820,Kwazulu Natal,Young Adults,coloured,male,1,1
831820,Sun,18,201603,2016-03-06,Mar,Weekend,Cartoon Network,18:51:00,00:00:57,831820,Kwazulu Natal,Young Adults,coloured,male,1,1
831820,Sat,18,201602,2016-02-27,Feb,Weekend,Cartoon Network,18:02:00,00:11:56,831820,Kwazulu Natal,Young Adults,coloured,male,1,1
521247,Sun,20,201601,2016-01-03,Jan,Weekend,Africa Magic,20:51:00,00:07:06,521247,Mpumalanga,Young Adults,black,male,1,1
521247,Fri,12,201601,2016-01-08,Jan,Weekday,Channel O,12:25:00,00:04:48,521247,Mpumalanga,Young Adults,black,male,1,1
621328,Wed,20,201601,2016-01-13,Jan,Weekday,DStv Events 1,20:02:00,00:01:35,621328,Western Cape,Young Adults,None,male,1,1
892587,Fri,18,201603,2016-03-11,Mar,Weekday,ICC Cricket World Cup 2011,18:07:00,00:01:10,892587,Gauteng,Young Adults,indian_asian,male,1,1
892587,Sun,16,201603,2016-03-20,Mar,Weekend,ICC Cricket World Cup 2011,16:37:00,01:04:12,892587,Gauteng,Young Adults,indian_asian,male,1,1
939719,Thu,19,201603,2016-03-31,Mar,Weekday,Channel O,19:33:00,00:02:18,939719,Kwazulu Natal,Young Adults,white,male,1,1
939719,Thu,16,201603,2016-03-31,Mar,Weekday,Vuzu,16:36:00,00:02:11,939719,Kwazulu Natal,Young Adults,white,male,1,1
930104,Tue,21,201603,2016-03-29,Mar,Weekday,SuperSport Blitz,21:49:00,00:04:24,930104,Limpopo,Young Adults,indian_asian,male,1,1
866270,Sun,12,201603,2016-03-13,Mar,Weekend,ICC Cricket World Cup 2011,12:07:00,00:59:14,866270,Gauteng,Young Adults,indian_asian,male,1,1
